pid,gid,gsize,time,friend,fid,self_other,liking,incentive,age,race,sex
67,30,3,1,1,68,1,2.5,0,18,1,3
67,30,3,2,1,68,1,4,0,18,1,3
67,30,3,3,1,68,1,4.333333333,0,18,1,3
67,30,3,4,1,68,1,5,0,18,1,3
67,30,3,5,1,68,1,4.75,0,18,1,3
68,30,3,2,3,69,1,4,1,18,1,3
69,30,3,1,2,68,1,4.75,1,18,3,1
69,30,3,2,2,68,1,2.333333333,1,18,3,1
69,30,3,3,2,68,1,2,1,18,3,1
69,30,3,4,2,68,1,3,1,18,3,1
69,30,3,5,2,68,1,2.25,1,18,3,1
70,31,3,1,2,72,1,2,1,18,1,3
70,31,3,3,2,72,1,1,1,18,1,3
70,31,3,4,2,72,1,2,1,18,1,3
70,31,3,5,2,72,1,4.75,1,18,1,3
71,31,3,1,1,72,1,6,1,18,3,1
71,31,3,1,2,70,1,2,1,18,3,1
71,31,3,2,1,72,1,6,1,18,3,1
71,31,3,2,2,70,1,1,1,18,3,1
71,31,3,3,1,72,1,6.666666667,1,18,3,1
71,31,3,3,2,70,1,1,1,18,3,1
71,31,3,4,1,72,1,6.333333333,1,18,3,1
71,31,3,4,2,70,1,1,1,18,3,1
71,31,3,5,1,72,1,5.75,1,18,3,1
71,31,3,5,2,70,1,1,1,18,3,1
72,31,3,1,1,71,1,6.5,0,19,1,3
72,31,3,1,2,70,1,1.75,0,19,1,3
72,31,3,2,1,71,1,5,0,19,1,3
72,31,3,2,2,70,1,1.333333333,0,19,1,3
72,31,3,3,1,71,1,2,0,19,1,3
72,31,3,3,2,70,1,5.666666667,0,19,1,3
72,31,3,5,1,71,1,6.75,0,19,1,3
72,31,3,5,2,70,1,1,0,19,1,3
73,32,3,1,1,74,1,4.25,0,18,4,3
73,32,3,1,2,75,1,3.5,0,18,4,3
73,32,3,2,1,74,1,4.333333333,0,18,4,3
73,32,3,2,2,75,1,2,0,18,4,3
73,32,3,3,1,74,1,4.666666667,0,18,4,3
73,32,3,3,2,75,1,2,0,18,4,3
73,32,3,4,1,74,1,5,0,18,4,3
73,32,3,4,2,75,1,3,0,18,4,3
73,32,3,5,1,74,1,5.25,0,18,4,3
73,32,3,5,2,75,1,2.5,0,18,4,3
74,32,3,1,1,75,1,6.75,0,18,8,1
74,32,3,1,2,73,1,6,0,18,8,1
74,32,3,2,1,75,1,6.333333333,0,18,8,1
74,32,3,2,2,73,1,6,0,18,8,1
74,32,3,3,1, ,1, ,0,18,8,1
74,32,3,4,1,75,1,5.666666667,0,18,8,1
